marca_tiempo,edad,genero,zona_residencia,nivel_educativo,nivel_socioeco,horas_estudio,asistencia,plataforma,horas_redes,momento_uso,actividad_fisica,sintomas_abstine,alteracion_sueno,modificacion_ani,ansiedad,depresion,autoestima,promedio_raw,distraccion_acad,promedio,cat_horas_redes
26/04/2025 01:14:36,28,Male,Urban,Tertiary Education,Tertiary Education,2,80,YouTube,4,Night,Yes,Feeling restless,4,3,4,5,4,3.55,5,3.55,2–4 h
26/04/2025 01:24:20,21,Male,Rural,Tertiary Education,No education,3,60,Instagram,5,Afternoon,Yes,No symtoms,5,2,2,1,5,3.1,3,3.1,4–6 h
27/04/2025 21:38:37,17,Female,Rural,HSC / A' Level,SSC / O' Level,6,70,YouTube,2,Night,Yes,Cravings,1,2,2,1,1,A- ,1,NA,0–2 h
27/04/2025 21:42:51,22,Male,Urban,Tertiary Education,HSC / A' Level,1,80,Facebook,6,Night,Yes,Feeling restless,3,2,3,3,3,gpa 5/5,1,5,4–6 h
27/04/2025 21:46:22,26,Male,Urban,Tertiary Education,Tertiary Education,2,85,Facebook,5,Night,No,Cravings,4,3,4,3,4,2.78,4,2.78,4–6 h
27/04/2025 21:46:32,21,Male,Urban,Tertiary Education,Tertiary Education,2,95,YouTube,6,Night,Yes,Cravings,1,4,2,3,4,4,2,4,4–6 h
27/04/2025 21:57:07,23,Male,Urban,Tertiary Education,SSC / O' Level,4,95,Facebook,8,Night,Yes,Feeling restless,4,4,3,4,3,3.91,4,3.91,>6 h
27/04/2025 22:00:49,20,Female,Urban,Tertiary Education,HSC / A' Level,3,98,Instagram,6,Night,No,Feeling restless,3,3,3,3,3,3.65,2,3.65,4–6 h
27/04/2025 22:07:29,22,Male,Urban,Tertiary Education,HSC / A' Level,4,97,Facebook,2.5,Night,No,No symtoms,4,4,4,4,4,3,3,3,2–4 h
27/04/2025 22:18:50,23,Male,Rural,Tertiary Education,SSC / O' Level,3,100,Facebook,3,Evening,No,No symtoms,3,3,5,5,1,3.51,1,3.51,2–4 h
27/04/2025 22:29:42,22,Male,Urban,Tertiary Education,Tertiary Education,1,60,Instagram,1.5,Night,Yes,No symtoms,5,4,3,4,3,3,2,3,0–2 h
27/04/2025 22:32:33,22,Female,Urban,Tertiary Education,Tertiary Education,3,90,YouTube,10,Morning,No,Cravings,5,4,4,4,3,4/4,5,4,>6 h
27/04/2025 22:36:03,19,Male,Rural,HSC / A' Level,SSC / O' Level,5,90,Instagram,6.5,Night,Yes,No symtoms,1,1,1,1,1,Gpa: 4.50,1,4.5,>6 h
27/04/2025 22:42:37,25,Male,Urban,Tertiary Education,Tertiary Education,7,80,YouTube,3,Night,No,No symtoms,2,3,2,1,2,1.89/1.83,4,1.89,2–4 h
27/04/2025 22:47:44,22,Female,Urban,Tertiary Education,Tertiary Education,0.5,25,Instagram,2,Night,No,No symtoms,2,4,3,2,3,3.96,3,3.96,0–2 h
27/04/2025 22:49:50,19,Female,Rural,HSC / A' Level,SSC / O' Level,4,5,Instagram,3,Night,Yes,No symtoms,1,4,3,4,5,GPA-3.89 ,2,3.89,2–4 h
27/04/2025 23:06:42,20,Female,Urban,Tertiary Education,SSC / O' Level,4,90,Facebook,6.5,Evening,Yes,No symtoms,3,2,2,3,2,CGPA 4.00,1,4,>6 h
27/04/2025 23:48:56,24,Male,Urban,Tertiary Education,Tertiary Education,1,10,Instagram,4,Night,No,Trouble concentrating,2,3,2,2,2,2.5,2,2.5,2–4 h
28/04/2025 00:11:33,24,Male,Urban,Tertiary Education,Tertiary Education,0,60,Facebook,2.5,Night,No,Irritability or agitation,2,3,2,2,2,3.5,4,3.5,2–4 h
28/04/2025 00:34:55,23,Male,Rural,HSC / A' Level,No education,2,90,YouTube,2,Night,No,No symtoms,3,3,4,3,4,CGPA-4,1,4,0–2 h
28/04/2025 01:17:19,27,Male,Urban,Tertiary Education,SSC / O' Level,4,99,Facebook,2,Night,No,No symtoms,1,1,1,2,2,3.5,4,3.5,0–2 h
28/04/2025 14:15:02,25,Male,Urban,Tertiary Education,Tertiary Education,3,90,Facebook,2,Evening,Yes,No symtoms,1,2,1,1,1,3.87,2,3.87,0–2 h
28/04/2025 14:16:33,23,Female,Rural,Tertiary Education,Tertiary Education,2,100,Instagram,4,Morning,No,Trouble concentrating,4,2,5,5,5,3.27,3,3.27,2–4 h
28/04/2025 14:18:26,23,Male,Urban,Tertiary Education,Tertiary Education,3,80,Facebook,6,Night,Yes,Trouble concentrating,3,3,5,4,5,4.56,5,4.56,4–6 h
28/04/2025 14:18:34,23,Male,Urban,Tertiary Education,Tertiary Education,0,90,Facebook,5,Night,No,Cravings,3,4,3,3,3,4/4,1,4,4–6 h
28/04/2025 14:18:54,22,Female,Rural,Tertiary Education,SSC / O' Level,2,95,Facebook,4.5,Evening,No,Cravings,1,3,1,5,3,3.75,3,3.75,4–6 h
28/04/2025 14:19:41,21,Female,Urban,Tertiary Education,Tertiary Education,3,80,Instagram,5,Night,Yes,No symtoms,3,3,1,2,3,3.25,4,3.25,4–6 h
28/04/2025 14:19:53,22,Female,Urban,Tertiary Education,HSC / A' Level,5,96,YouTube,2,Evening,Yes,No symtoms,3,4,4,5,3,4,3,4,0–2 h
28/04/2025 14:19:58,20,Female,Urban,Tertiary Education,Tertiary Education,2,70,Facebook,5,Night,Yes,Cravings,2,3,4,2,2,3,1,3,4–6 h
28/04/2025 14:20:03,23,Male,Urban,Tertiary Education,HSC / A' Level,6,90,YouTube,4,Night,Yes,Feeling restless,4,4,3,3,2,GPA -3.96,2,3.96,2–4 h
28/04/2025 14:20:28,23,Male,Urban,Tertiary Education,SSC / O' Level,0,100,YouTube,4.5,Night,No,No symtoms,1,1,1,1,5,3.86,1,3.86,4–6 h
28/04/2025 14:20:35,22,Female,Urban,Tertiary Education,Tertiary Education,4,80,Facebook,8,Night,No,Irritability or agitation,4,3,3,2,3,3.64,3,3.64,>6 h
28/04/2025 14:20:58,22,Male,Urban,Tertiary Education,HSC / A' Level,0,80,Other,2,Night,No,Feeling restless,3,3,1,1,3,3.8,5,3.8,0–2 h
28/04/2025 14:21:24,23,Female,Urban,Tertiary Education,Tertiary Education,6,88.8888888888889,Facebook,3.5,Evening,Yes,No symtoms,3,3,3,3,3,3.65,3,3.65,2–4 h
28/04/2025 14:21:29,20,Female,Urban,Tertiary Education,Tertiary Education,3,75,Instagram,2,Night,Yes,Trouble concentrating,2,1,4,5,4,3.7,2,3.7,0–2 h
28/04/2025 14:21:33,21,Female,Urban,Tertiary Education,Tertiary Education,0.1,25,YouTube,2,Night,No,Irritability or agitation,5,5,5,5,1,3.16,4,3.16,0–2 h
28/04/2025 14:21:55,23,Female,Urban,Tertiary Education,SSC / O' Level,5,80,Facebook,2,Evening,No,No symtoms,3,4,2,5,4,3.96,4,3.96,0–2 h
28/04/2025 14:22:28,22,Male,Urban,Tertiary Education,HSC / A' Level,2,100,YouTube,5.5,Night,No,Cravings,1,3,3,1,3,CGPA 3.83,3,3.83,4–6 h
28/04/2025 14:22:45,21,Female,Urban,HSC / A' Level,HSC / A' Level,5,80,YouTube,4,Night,No,No symtoms,2,5,2,1,4,4.8,1,4.8,2–4 h
28/04/2025 14:22:49,22,Male,Urban,Tertiary Education,HSC / A' Level,4,99,Facebook,5,Night,Yes,Feeling restless,1,1,1,1,1,3.8,1,3.8,4–6 h
28/04/2025 14:22:53,24,Male,Urban,Tertiary Education,SSC / O' Level,1,100,Facebook,3,Night,Yes,No symtoms,3,4,4,4,4,CGPA 4.00 out of 4.00,4,4,2–4 h
28/04/2025 14:23:17,21,Male,Urban,HSC / A' Level,HSC / A' Level,2,80,Facebook,2,Night,No,Trouble concentrating,2,5,2,1,4,3.5,4,3.5,0–2 h
28/04/2025 14:23:20,22,Female,Urban,Tertiary Education,SSC / O' Level,4,99,Instagram,2,Night,No,No symtoms,1,1,5,3,5,3.9,5,3.9,0–2 h
28/04/2025 14:23:25,23,Male,Urban,Tertiary Education,SSC / O' Level,1,85,YouTube,12,Night,Yes,Irritability or agitation,1,4,5,1,1,3.96,1,3.96,>6 h
28/04/2025 14:24:53,22,Female,Urban,Tertiary Education,Tertiary Education,2,100,YouTube,3.5,Night,No,No symtoms,3,3,1,1,1,GPA 3.80 Out of 4.00,5,3.8,2–4 h
28/04/2025 14:25:52,21,Female,Urban,Tertiary Education,SSC / O' Level,0,92.5,Facebook,5,Night,Yes,Trouble concentrating,4,3,4,5,5,Cgpa-3.94,2,3.94,4–6 h
28/04/2025 14:27:11,21,Male,Urban,Tertiary Education,Tertiary Education,2,90,Facebook,4.5,Night,Yes,No symtoms,4,3,4,5,3,4 out of 4,1,4,4–6 h
28/04/2025 14:29:33,21,Male,Urban,Tertiary Education,SSC / O' Level,6,70,Facebook,6,Night,No,Feeling restless,2,1,1,3,1,3.3,1,3.3,4–6 h
28/04/2025 14:29:50,23,Female,Urban,Tertiary Education,SSC / O' Level,1,90,Instagram,3,Evening,Yes,No symtoms,3,3,4,5,4,3.85,3,3.85,2–4 h
28/04/2025 14:30:16,22,Female,Urban,HSC / A' Level,HSC / A' Level,5,95,YouTube,5,Night,No,No symtoms,3,3,1,2,4,3.56,2,3.56,4–6 h
28/04/2025 14:30:19,22,Male,Urban,HSC / A' Level,Tertiary Education,6,95,YouTube,5,Night,No,No symtoms,5,5,5,5,5,3.88,5,3.88,4–6 h
28/04/2025 14:31:51,22,Female,Urban,Tertiary Education,Tertiary Education,1,20,Other,10,Night,No,Feeling restless,5,5,5,5,5,3.25,5,3.25,>6 h
28/04/2025 14:34:50,24,Female,Urban,Tertiary Education,Tertiary Education,1,7,Facebook,4,Night,Yes,No symtoms,2,2,2,3,3,3.5,3,3.5,2–4 h
28/04/2025 14:58:00,23,Male,Urban,Tertiary Education,Tertiary Education,3,98,YouTube,4.5,Night,Yes,Feeling restless,2,5,3,3,4,3.96,1,3.96,4–6 h
28/04/2025 15:03:40,23,Female,Urban,Tertiary Education,SSC / O' Level,0,100,YouTube,4,Night,No,Irritability or agitation,1,3,1,1,1,3,3,3,2–4 h
28/04/2025 15:05:16,22,Male,Urban,Tertiary Education,Tertiary Education,2,90,Other,6,Night,No,Irritability or agitation,5,4,3,3,3,3.8,5,3.8,4–6 h
28/04/2025 15:33:01,22,Male,Urban,Tertiary Education,SSC / O' Level,0,90,Instagram,4,Night,Yes,Feeling restless,1,3,3,4,4,3.2,4,3.2,2–4 h
28/04/2025 16:44:24,23,Female,Rural,Tertiary Education,Tertiary Education,1,95,Instagram,4,Night,No,Cravings,3,4,1,3,1,3.82,1,3.82,2–4 h
28/04/2025 16:51:08,22,Female,Urban,Tertiary Education,SSC / O' Level,2,90,YouTube,1,Night,No,Cravings,3,2,3,3,2,3.73,3,3.73,0–2 h
28/04/2025 17:18:14,22,Female,Urban,Tertiary Education,Tertiary Education,3,90,Facebook,5,Night,Yes,Feeling restless,4,3,3,3,3,3.75,4,3.75,4–6 h
28/04/2025 17:41:46,24,Female,Urban,Tertiary Education,No education,0,100,YouTube,5,Evening,No,No symtoms,5,3,3,4,3,3.86,4,3.86,4–6 h
28/04/2025 18:19:35,20,Female,Urban,Tertiary Education,HSC / A' Level,3,100,YouTube,4,Night,No,No symtoms,3,4,2,2,3,3.75,3,3.75,2–4 h
28/04/2025 18:30:39,22,Female,Rural,Tertiary Education,No education,5,99,YouTube,3,Afternoon,Yes,No symtoms,1,3,2,4,2,3.58,2,3.58,2–4 h
28/04/2025 20:10:20,23,Male,Rural,Tertiary Education,Tertiary Education,1,30,Instagram,6,Night,Yes,No symtoms,4,3,3,1,3,3.15,1,3.15,4–6 h
28/04/2025 20:10:27,21,Female,Rural,Tertiary Education,HSC / A' Level,5,100,Instagram,6.5,Night,Yes,No symtoms,5,2,3,1,2,4,5,4,>6 h
28/04/2025 20:10:44,21,Male,Urban,Tertiary Education,Tertiary Education,10,100,YouTube,1,Night,No,Trouble concentrating,2,3,2,2,2,3.87,2,3.87,0–2 h
28/04/2025 20:10:51,21,Female,Urban,Tertiary Education,Tertiary Education,1,98,Instagram,2.5,Evening,No,No symtoms,3,3,4,3,5,3.86,1,3.86,2–4 h
28/04/2025 20:11:40,19,Male,Urban,Tertiary Education,HSC / A' Level,2,70,YouTube,6.5,Night,No,Trouble concentrating,3,3,4,3,3,3.87,2,3.87,>6 h
28/04/2025 20:11:47,20,Male,Urban,Tertiary Education,Tertiary Education,2,85,Instagram,3,Night,Yes,Trouble concentrating,3,3,2,3,3,GPA-5,4,5,2–4 h
28/04/2025 20:12:50,21,Female,Urban,Tertiary Education,HSC / A' Level,2,80,Instagram,4,Night,No,No symtoms,5,5,3,4,4,3.5,5,3.5,2–4 h
28/04/2025 20:13:27,23,Male,Urban,Tertiary Education,HSC / A' Level,0.333333333333333,90,YouTube,4,Night,No,Feeling restless,2,5,4,4,4,3.5,3,3.5,2–4 h
28/04/2025 20:13:29,22,Female,Rural,Tertiary Education,Tertiary Education,5,100,Instagram,2,Evening,Yes,No symtoms,1,3,3,2,3,GPA -5.00,1,5,0–2 h
28/04/2025 20:13:35,24,Male,Urban,Tertiary Education,SSC / O' Level,2,70,Instagram,7,Night,Yes,No symtoms,1,2,1,2,1,3.56,2,3.56,>6 h
28/04/2025 20:13:54,24,Female,Rural,Tertiary Education,Tertiary Education,1,75,Instagram,4.5,Evening,No,Feeling restless,3,3,3,3,5,3.01,3,3.01,4–6 h
28/04/2025 20:14:03,20,Female,Urban,Tertiary Education,Madrasah,8,90,Instagram,2.5,Night,Yes,No symtoms,3,1,1,3,5,4.8,1,4.8,2–4 h
28/04/2025 20:14:03,25,Male,Urban,Tertiary Education,No education,1,30,YouTube,2,Night,Yes,No symtoms,3,2,1,1,1,3.34,3,3.34,0–2 h
28/04/2025 20:14:06,23,Male,Urban,Tertiary Education,Madrasah,4,98,Facebook,9,Afternoon,No,Feeling restless,5,4,5,2,4,3.57,5,3.57,>6 h
28/04/2025 20:14:59,21,Male,Urban,Tertiary Education,SSC / O' Level,5,100,YouTube,1,Night,No,Feeling restless,4,4,4,4,3,4.83(HSC),4,4.83,0–2 h
28/04/2025 20:15:03,21,Male,Rural,Tertiary Education,HSC / A' Level,4,100,Facebook,5,Evening,No,Cravings,3,4,5,5,3,3.83,5,3.83,4–6 h
28/04/2025 20:15:07,21,Female,Urban,Tertiary Education,No education,1,86,Facebook,5,Night,No,No symtoms,1,3,2,3,2,3.24,2,3.24,4–6 h
28/04/2025 20:15:17,21,Male,Urban,Tertiary Education,HSC / A' Level,4,95,Facebook,2.5,Night,No,Irritability or agitation,2,3,2,1,3,3.6,1,3.6,2–4 h
28/04/2025 20:15:41,21,Male,Urban,Tertiary Education,Tertiary Education,8,100,Instagram,3,Night,No,Irritability or agitation,2,4,3,4,4,CGPA 4.00,3,4,2–4 h
28/04/2025 20:15:56,21,Female,Urban,Tertiary Education,HSC / A' Level,3,100,YouTube,5.5,Night,No,No symtoms,4,3,1,5,5,3.83,4,3.83,4–6 h
28/04/2025 20:16:12,22,Male,Urban,Tertiary Education,Tertiary Education,4,75,YouTube,3,Night,Yes,No symtoms,2,3,2,1,4,4.56,2,4.56,2–4 h
28/04/2025 20:16:36,23,Male,Urban,Tertiary Education,HSC / A' Level,2,80,Facebook,6,Night,No,Trouble concentrating,1,2,1,2,2,3.32,1,3.32,4–6 h
28/04/2025 20:17:09,22,Male,Urban,Tertiary Education,SSC / O' Level,1,50,Instagram,8,Night,Yes,Cravings,3,3,4,4,3,3.28,2,3.28,>6 h
28/04/2025 20:18:19,22,Female,Urban,HSC / A' Level,HSC / A' Level,3,91,Instagram,2,Afternoon,Yes,No symtoms,1,3,2,1,5,3.83,1,3.83,0–2 h
28/04/2025 20:18:31,20,Female,Urban,Tertiary Education,HSC / A' Level,3,100,YouTube,4,Afternoon,Yes,No symtoms,3,3,3,3,3,CGPA 4 in 1-1 finals,2,4,2–4 h
28/04/2025 20:19:30,24,Female,Urban,Tertiary Education,HSC / A' Level,1,60,YouTube,4.5,Night,Yes,No symtoms,3,4,1,5,3,3.27,2,3.27,4–6 h
28/04/2025 20:20:07,21,Female,Rural,Tertiary Education,Tertiary Education,6,90,Facebook,4,Afternoon,No,Cravings,2,2,1,4,5,5,2,5,2–4 h
28/04/2025 20:20:12,22,Male,Urban,Tertiary Education,SSC / O' Level,1,60,Facebook,20,Night,Yes,Feeling restless,5,5,5,5,5,3.35 CGPA,5,3.35,>6 h
28/04/2025 20:21:37,210,Male,Urban,Tertiary Education,HSC / A' Level,5,80,Facebook,3,Night,No,No symtoms,3,2,1,1,3,4.58,4,4.58,2–4 h
28/04/2025 20:22:00,20,Female,Urban,Tertiary Education,HSC / A' Level,5,10,Facebook,2,Afternoon,No,No symtoms,1,1,1,1,5,3.62,1,3.62,0–2 h
28/04/2025 20:22:05,21,Female,Urban,Tertiary Education,Tertiary Education,4,96,Facebook,3,Night,No,No symtoms,1,2,3,3,3,4,1,4,2–4 h
28/04/2025 20:22:09,20,Male,Urban,Tertiary Education,Tertiary Education,2,55,Other,3.5,Evening,Yes,Feeling restless,3,2,2,1,1,3.5,3,3.5,2–4 h
28/04/2025 20:23:17,21,Male,Urban,Tertiary Education,Madrasah,1,100,YouTube,10,Evening,No,Feeling restless,3,3,2,2,3,3.58,1,3.58,>6 h
28/04/2025 20:23:30,21,Male,Urban,HSC / A' Level,Tertiary Education,1,90,Other,2,Night,Yes,No symtoms,2,5,1,1,3,3.67,1,3.67,0–2 h
28/04/2025 20:23:53,21,Male,Rural,HSC / A' Level,SSC / O' Level,3,95,Facebook,4,Evening,Yes,No symtoms,4,3,5,5,3,HSC GPA:4.17,3,4.17,2–4 h
28/04/2025 20:23:57,19,Male,Rural,HSC / A' Level,SSC / O' Level,3,100,Facebook,8,Night,Yes,No symtoms,5,5,3,3,4,4.58,5,4.58,>6 h
28/04/2025 20:24:00,21,Male,Urban,Tertiary Education,SSC / O' Level,4,50,YouTube,1,Night,No,No symtoms,1,5,1,1,1,3.74,1,3.74,0–2 h
28/04/2025 20:24:52,21,Male,Urban,Tertiary Education,HSC / A' Level,3,78,Facebook,5,Evening,Yes,Cravings,1,1,1,1,2,4.33,1,4.33,4–6 h
28/04/2025 20:25:31,21,Male,Urban,Tertiary Education,SSC / O' Level,5,80,Facebook,3,Night,No,Feeling restless,4,4,2,4,3,Cgpa-3.8,4,3.8,2–4 h
28/04/2025 20:26:13,20,Female,Urban,Tertiary Education,Tertiary Education,5,85,YouTube,6.5,Night,Yes,Trouble concentrating,3,3,3,4,3,3.7,3,3.7,>6 h
28/04/2025 20:26:22,20,Male,Urban,HSC / A' Level,HSC / A' Level,0,60,Instagram,2.5,Evening,No,No symtoms,5,3,3,1,3,3.77 last semester ,5,3.77,2–4 h
28/04/2025 20:28:26,20,Female,Urban,Tertiary Education,Madrasah,0,95,YouTube,2.5,Night,No,Irritability or agitation,1,5,4,5,4,CGPA 4,2,4,2–4 h
28/04/2025 20:28:47,22,Female,Urban,Tertiary Education,Tertiary Education,5,100,YouTube,4,Night,Yes,No symtoms,3,4,4,5,2,3.3,3,3.3,2–4 h
28/04/2025 20:31:02,22,Male,Urban,Tertiary Education,Madrasah,1,90,Instagram,4,Night,Yes,Feeling restless,2,3,2,2,3,3.3,2,3.3,2–4 h
28/04/2025 20:32:21,20,Female,Urban,Tertiary Education,SSC / O' Level,1,98,Instagram,7.5,Evening,No,Feeling restless,3,4,2,3,3,3.91,4,3.91,>6 h
28/04/2025 20:33:16,22,Female,Urban,Tertiary Education,Tertiary Education,3,90,Facebook,7,Night,Yes,Trouble concentrating,4,4,4,4,4,3.67,4,3.67,>6 h
28/04/2025 20:37:16,22,Male,Urban,Tertiary Education,Tertiary Education,3,75,Facebook,8,Night,No,Irritability or agitation,5,4,2,3,4,3.90 out of 4.00,3,3.9,>6 h
28/04/2025 20:43:40,20,Female,Urban,Tertiary Education,Tertiary Education,8,80,YouTube,2,Afternoon,Yes,No symtoms,3,5,5,5,5,GPA 5,5,5,0–2 h
28/04/2025 20:44:57,24,Male,Rural,Tertiary Education,HSC / A' Level,3,95,Facebook,7,Night,Yes,No symtoms,1,2,1,2,2,GPA 5:00,3,5,>6 h
28/04/2025 20:45:18,21,Female,Urban,Tertiary Education,HSC / A' Level,6,80,YouTube,2,Evening,Yes,Feeling restless,1,4,4,4,3,3.64 cgpa,5,3.64,0–2 h
28/04/2025 20:47:58,21,Male,Urban,Tertiary Education,SSC / O' Level,5,85,Facebook,12,Night,No,Trouble concentrating,3,4,4,5,3,3.3,1,3.3,>6 h
28/04/2025 20:50:40,25,Female,Urban,HSC / A' Level,HSC / A' Level,2,90,Instagram,5,Evening,Yes,Cravings,2,4,1,3,1,3.25,1,3.25,4–6 h
28/04/2025 20:58:11,23,Male,Rural,HSC / A' Level,HSC / A' Level,1,95,YouTube,2,Evening,No,Trouble concentrating,2,2,4,4,3,CGPA 2.50+,3,2.5,0–2 h
28/04/2025 20:59:13,21,Male,Urban,Tertiary Education,Madrasah,0,100,YouTube,2,Night,No,No symtoms,1,5,5,3,5,4.00(CGPA),5,4,0–2 h
28/04/2025 21:03:52,20,Male,Rural,HSC / A' Level,HSC / A' Level,1,90,Facebook,3,Afternoon,Yes,No symtoms,3,2,1,1,5,HSC (4.00),2,4,2–4 h
28/04/2025 21:06:30,21,Male,Urban,Tertiary Education,HSC / A' Level,2,100,YouTube,8,Night,No,No symtoms,1,4,3,1,3,3.71,4,3.71,>6 h
28/04/2025 21:07:58,23,Male,Urban,Tertiary Education,SSC / O' Level,1,90,YouTube,4,Night,Yes,Cravings,4,5,4,3,4,3.56,5,3.56,2–4 h
28/04/2025 21:09:23,20,Female,Urban,Tertiary Education,HSC / A' Level,0,100,Instagram,12,Night,No,Irritability or agitation,3,3,2,1,2,3.5,5,3.5,>6 h
28/04/2025 21:30:03,24,Male,Rural,Tertiary Education,HSC / A' Level,4,95,Facebook,4,Evening,Yes,No symtoms,2,3,1,2,2,3.72,4,3.72,2–4 h
28/04/2025 21:33:57,20,Female,Urban,Tertiary Education,Tertiary Education,3,99,YouTube,0.5,Evening,Yes,Feeling restless,5,3,4,3,5,4.17,4,4.17,0–2 h
28/04/2025 21:35:46,21,Male,Urban,Tertiary Education,SSC / O' Level,3,90,YouTube,2,Evening,Yes,No symtoms,3,3,3,4,3,3.75,4,3.75,0–2 h
28/04/2025 21:39:14,19,Male,Urban,Tertiary Education,Tertiary Education,6,98,Facebook,2,Evening,Yes,No symtoms,3,2,2,2,1,3.5,3,3.5,0–2 h
28/04/2025 21:42:09,20,Male,Rural,Tertiary Education,Tertiary Education,10,100,Facebook,1,Night,Yes,Cravings,4,1,1,1,1,Cgpa--3.43,1,3.43,0–2 h
28/04/2025 21:43:28,23,Male,Urban,Tertiary Education,Tertiary Education,2,70,Facebook,5,Night,Yes,Cravings,2,2,4,3,3,Hsc 2021 4.58 science,3,4.58,4–6 h
28/04/2025 21:48:51,21,Male,Urban,Tertiary Education,SSC / O' Level,5,80,Other,2,Night,Yes,No symtoms,1,1,1,1,1,3.86,1,3.86,0–2 h
28/04/2025 22:01:38,19,Female,Urban,Tertiary Education,Tertiary Education,9,100,YouTube,2,Afternoon,Yes,No symtoms,1,1,1,1,2,Pending ,1,NA,0–2 h
28/04/2025 22:02:27,22,Male,Urban,Tertiary Education,SSC / O' Level,1,70,Facebook,3,Night,No,Cravings,3,4,2,2,2,3.92,2,3.92,2–4 h
28/04/2025 22:34:24,20,Male,Urban,HSC / A' Level,SSC / O' Level,0.666666666666667,100,Instagram,5.5,Night,Yes,Feeling restless,5,4,4,3,4,HSC-4.50(2022),4,4.5,4–6 h
28/04/2025 22:44:53,27,Male,Urban,Tertiary Education,SSC / O' Level,3,60,YouTube,1.5,Night,No,No symtoms,3,3,3,5,5,3.71,4,3.71,0–2 h
28/04/2025 23:05:38,22,Female,Urban,HSC / A' Level,HSC / A' Level,4,80,Facebook,3,Night,Yes,Cravings,5,3,2,5,3,3.97,4,3.97,2–4 h
28/04/2025 23:09:32,20,Female,Urban,Tertiary Education,Tertiary Education,4,70,Instagram,2.5,Evening,No,Cravings,3,3,3,4,3,GPA:5 (HSC),2,5,2–4 h
29/04/2025 06:40:23,23,Female,Urban,Tertiary Education,Tertiary Education,2,100,Facebook,1,Evening,Yes,No symtoms,1,3,2,3,4,"3rd year 2nd semester, 3.90 CGPA.",3,3,0–2 h
28/04/2025 23:18:55,23,Male,Urban,Tertiary Education,Tertiary Education,3,70,YouTube,6,Night,No,Cravings,4,4,3,4,2,5,4,5,4–6 h
28/04/2025 23:37:29,22,Female,Urban,Tertiary Education,HSC / A' Level,3,90,Instagram,4.5,Night,No,Feeling restless,2,3,3,4,4,3.69,5,3.69,4–6 h
28/04/2025 23:47:03,20,Male,Urban,Tertiary Education,HSC / A' Level,3,70,Facebook,1,Morning,Yes,No symtoms,1,2,2,2,2,4.58,2,4.58,0–2 h
28/04/2025 23:58:17,23,Female,Urban,Tertiary Education,HSC / A' Level,1,100,Facebook,3.5,Night,No,No symtoms,1,1,1,2,1,3.95,3,3.95,2–4 h
29/04/2025 00:00:21,23,Male,Urban,Tertiary Education,Tertiary Education,4,95,Facebook,2,Night,Yes,No symtoms,2,1,1,1,3,4,3,4,0–2 h
29/04/2025 00:31:23,23,Male,Urban,Tertiary Education,Tertiary Education,2,80,Instagram,3,Night,Yes,No symtoms,4,3,2,2,2,3.63,2,3.63,2–4 h
29/04/2025 01:36:51,22,Male,Rural,Tertiary Education,No education,4,85,YouTube,2,Afternoon,No,Feeling restless,4,2,4,2,3,3.85,1,3.85,0–2 h
29/04/2025 07:09:30,20,Male,Urban,Tertiary Education,SSC / O' Level,3,90,Instagram,7.5,Afternoon,No,Feeling restless,3,4,3,5,3,4.58 GPA,2,4.58,>6 h
29/04/2025 10:15:21,21,Female,Urban,Tertiary Education,Tertiary Education,2,80,Instagram,6,Night,No,No symtoms,2,3,4,3,5,"HSC, GPA-5.00",3,5,4–6 h
29/04/2025 10:42:45,21,Male,Urban,HSC / A' Level,SSC / O' Level,2,80,YouTube,3,Evening,Yes,No symtoms,2,4,3,3,3,GPA-3-56,1,3,2–4 h
29/04/2025 12:01:31,21,Male,Urban,Tertiary Education,Tertiary Education,1,95,Facebook,3,Night,Yes,Cravings,2,2,2,3,3,5.00/5.00,4,5,2–4 h
29/04/2025 12:15:47,20,Female,Urban,Tertiary Education,No education,3,100,Instagram,4,Night,Yes,No symtoms,3,4,4,3,3,3.5,3,3.5,2–4 h
29/04/2025 12:52:23,24,Female,Urban,Tertiary Education,HSC / A' Level,3,70,Facebook,4.33333333333333,Night,Yes,No symtoms,3,4,1,4,4,3.82/4,2,3.82,4–6 h
29/04/2025 14:47:12,20,Male,Urban,Tertiary Education,Tertiary Education,1,80,Instagram,2,Afternoon,Yes,No symtoms,1,4,3,2,5,Gpa 5.00,3,5,0–2 h
